SGL,Transect #,TransectMeterPlot,Genus,Species,Species common,Daubenmeyer,TransectLattitude ,TransectLongitude ,Heading,BurnDate,YearSinceBurn,CollectedDate,DateCollected,Time Category,Burn Unit,Days Since Burn,Notes,Cleaning notes
300,4,5m,Gaultheria,procumbens,teaberry,2,"41°31'37"" N","75°28'20"" W",90E,5/22/2019,5-22-19,5/11/2025,5-11-25,5-10,300-1,2181,,
300,4,5m,Gaylussacia,baccata,black huckleberry,4,"41°31'37"" N","75°28'20"" W",90E,5/22/2019,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,5m,Viburnum,nudum,wild raisin,2,"41°31'37"" N","75°28'20"" W",90E,5/22/2019,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,5m,Vaccinium,angustifolium,lowbush blueberry,1,"41°31'37"" N","75°28'20"" W",90E,5/22/2019,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,5m,Quercus,ilicifolia,scrub oak,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,5m,Carex,pensylvanica,PA sedge,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,10m,Kalmia,angustifolia,sheep laurel,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,10m,Gaylussacia,baccata,black huckleberry,4,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,10m,Gaultheria,procumbens,teaberry,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,10m,Carex,pensylvanica,PA sedge,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,10m,Vaccinium,angustifolium,lowbush blueberry,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,10m,Viburnum,nudum,wild raisin,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,15m,Vaccinium,angustifolium,lowbush blueberry,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,15m,Gaylussacia,baccata,black huckleberry,4,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,15m,Quercus,ilicifolia,scrub oak,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,15m,Gaultheria,procumbens,teaberry,3,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,15m,Carex,pensylvanica,PA sedge,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,15m,Kalmia,angustifolia,sheep laurel,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,20m,Kalmia,angustifolia,sheep laurel,1,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,20m,Gaultheria,procumbens,teaberry,3,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,20m,Viburnum,nudum,wild raisin,3,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,4,20m,Quercus,ilicifolia,scrub oak,2,"41°31'37"" N","75°28'20"" W",90E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,5m,Aronia,melanocarpa,black chokeberry,3,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,5m,Quercus,ilicifolia,scrub oak,2,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,10m,Kalmia,angustifolia,sheep laurel,4,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,10m,Aronia,melanocarpa,black chokeberry,3,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,10m,Vaccinium,angustifolium,lowbush blueberry,2,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,15m,Quercus,ilicifolia,scrub oak,2,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,15m,Aronia,melanocarpa,black chokeberry,4,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,15m,Kalmia,angustifolia,sheep laurel,2,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,15m,Gaultheria,procumbens,teaberry,3,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,15m,Maianthemum,canadense,Canada mayflower,2,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,20m,Aronia,melanocarpa,black chokeberry,4,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,20m,Gaultheria,procumbens,teaberry,3,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,20m,Vaccinium,angustifolium,lowbush blueberry,2,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,20m,Maianthemum,canadense,Canada mayflower,2,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,20m,Quercus,ilicifolia,scrub oak,1,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,5,20m,Kalmia,angustifolia,sheep laurel,1,"41°31'45"" N","75°28'13"" W",107E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,5m,Kalmia,angustifolia,sheep laurel,4,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,5m,Vaccinium,angustifolium,lowbush blueberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,5m,Gaultheria,procumbens,teaberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,5m,Quercus,ilicifolia,scrub oak,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Vaccinium,angustifolium,lowbush blueberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Carex,pensylvanica,PA sedge,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Gaultheria,procumbens,teaberry,2,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Kalmia,angustifolia,sheep laurel,2,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,10m,Quercus,ilicifolia,scrub oak,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,15m,Vaccinium,angustifolium,lowbush blueberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,15m,Kalmia,angustifolia,sheep laurel,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,15m,Pinus,rigida,pitch pine,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Quercus,ilicifolia,scrub oak,2,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Vaccinium,angustifolium,lowbush blueberry,3,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Kalmia,angustifolia,sheep laurel,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Gaultheria,procumbens,teaberry,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,6,20m,Acer,rubrum,red maple,1,"41°31'48"" N","75°28'9"" W",111E,5-22-19,5-22-19,5-11-25,5-11-25,5-10,300-1,2181,,
300,7,5m,Aronia,melanocarpa,black chokeberry,2,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-1,16,,
300,7,5m,Vaccinium,angustifolium,lowbush blueberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,5m,Kalmia,angustifolia,sheep laurel,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,5m,Gaultheria,procumbens,teaberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,5m,Gaylussacia,baccata,black huckleberry,3,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Aronia,melanocarpa,black chokeberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Gaultheria,procumbens,teaberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Kalmia,angustifolia,sheep laurel,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Vaccinium,angustifolium,lowbush blueberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Dendrolycopodium,obscurum,flat-branched tree clubmoss,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,10m,Gaylussacia,baccata,black huckleberry,3,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,15m,Aronia,melanocarpa,black chokeberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,15m,Kalmia,angustifolia,sheep laurel,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,15m,Vaccinium,angustifolium,lowbush blueberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,15m,Gaylussacia,baccata,black huckleberry,4,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,20m,Vaccinium,angustifolium,lowbush blueberry,2,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,20m,Aronia,melanocarpa,black chokeberry,1,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,7,20m,Gaylussacia,baccata,black huckleberry,3,"41°29'23""N","75°28'58""W",199S,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,5m,Gaultheria,procumbens,teaberry,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,5m,Vaccinium,angustifolium,lowbush blueberry,2,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,5m,Aronia,melanocarpa,black chokeberry,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,5m,Gaylussacia,baccata,black huckleberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,10m,Gaultheria,procumbens,teaberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,10m,Gaylussacia,baccata,black huckleberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,10m,Vaccinium,angustifolium,lowbush blueberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,10m,Kalmia,angustifolia,sheep laurel,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Gaultheria,procumbens,teaberry,2,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Aronia,melanocarpa,black chokeberry,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Quercus,ilicifolia,scrub oak,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Vaccinium,angustifolium,lowbush blueberry,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,15m,Kalmia,angustifolia,sheep laurel,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,20m,Gaultheria,procumbens,teaberry,3,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,20m,Kalmia,angustifolia,sheep laurel,2,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,20m,Quercus,ilicifolia,scrub oak,2,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,8,20m,Betula,lenta,black birch,1,"41°29'23"" N","75°28'58"" W",202SW,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Carex,pensylvanica,PA sedge,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Vaccinium,angustifolium,lowbush blueberry,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Rubus,allegheniensis ,Allegheny blackberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Aronia,melanocarpa,black chokeberry,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Gaylussacia,baccata,black huckleberry,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,5m,Viburnum,nudum,wild raisin,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Vaccinium,angustifolium,lowbush blueberry,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Aronia,melanocarpa,black chokeberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Carex,pensylvanica,PA sedge,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Quercus,ilicifolia,scrub oak,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,10m,Rubus,allegheniensis ,Allegheny blackberry,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,15m,Gaylussacia,baccata,black huckleberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,15m,Vaccinium,angustifolium,lowbush blueberry,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,15m,Kalmia,angustifolia,sheep laurel,3,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,20m,Aronia,melanocarpa,black chokeberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,20m,Vaccinium,angustifolium,lowbush blueberry,2,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,20m,Quercus,ilicifolia,scrub oak,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
300,9,20m,Gaultheria,procumbens,teaberry,1,"41°29'18"" N","75°28'57"" W",23NE,4-25-25,4-25-25,5-11-25,5-11-25,0-1,300-2,16,,
211,1,5m,Potentilla,simplex,common cinquefoil,3,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,5m,Rubus,flagellaris,northern dewberry,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,"Carex morpho 1, thicker than penn",
211,1,5m,Carex,sp.,Carex morpho 1,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,Changed from carex sp. To carex morpho 1
211,1,5m,Microstegium,vimineum,Japanese stiltgrass,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,5m,Betula,lenta,black birch,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Rubus,allegheniensis ,Allegheny blackberry,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Potentilla,simplex,common cinquefoil,3,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Betula,lenta,black birch,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Carex,sp.,Carex morpho 1,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,Carex morpho 1,Changed from carex sp. To carex morpho 1
211,1,10m,Microstegium,vimineum,Japanese stiltgrass,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Viola,sagittata,arrowleaf violet,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Dennstaedtia,punctilobula,hay-scented fern,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,10m,Lysimachia,quadrifolia,whorled yellow loostrife,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,15m,Dennstaedtia,punctilobula,hay-scented fern,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,15m,Lysimachia,quadrifolia,whorled yellow loostrife,3,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,15m,Rubus,allegheniensis ,Allegheny blackberry,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,15m,Rubus,flagellaris,northern dewberry,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,20m,Lysimachia,quadrifolia,whorled yellow loostrife,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,20m,Microstegium,vimineum,Japanese stiltgrass,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,20m,Dennstaedtia,punctilobula,hay-scented fern,2,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,1,20m,Betula,lenta,black birch,1,"40°31'32"" N","76°33'57"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,5m,Carex,pensylvanica,PA sedge,3,"40°31'29"" N","76°34'0"" W",?,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,5m,Lysimachia,quadrifolia,whorled yellow loostrife,3,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,5m,Rubus,allegheniensis,Allegheny blackberry,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,5m,Betula,lenta,black birch,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,10m,Rubus,allegheniensis,Allegheny blackberry,2,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,10m,Carex,pensylvanica,PA sedge,3,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,10m,Lysimachia,quadrifolia,whorled yellow loostrife,2,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,15m,Lysimachia,quadrifolia,whorled yellow loostrife,3,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,15m,Carex,pensylvanica,PA sedge,3,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
211,2,15m,Carex,blanda,woodland sedge,1,"40°31'29"" N","76°34'0"" W",,4-23-25,4-23-25,5-18-25,5-18-25,0-1,211-1,25,,
